,variable,value,condition,experiment,game,participant
s08_p1_g2_count,60.0,15.0,control,3.0,2.0,s08_p1
s09_p1_g2_count,60.0,37.0,control,3.0,2.0,s09_p1
c02_p1_g2_count,60.0,16.0,control,4.0,2.0,c02_p1
c03_p1_g2_count,60.0,12.0,control,4.0,2.0,c03_p1
c05_p1_g2_count,60.0,30.0,control,4.0,2.0,c05_p1
c06_p1_g2_count,60.0,35.0,control,4.0,2.0,c06_p1
c07_p1_g2_count,60.0,17.0,control,4.0,2.0,c07_p1
c09_p1_g2_count,60.0,37.0,control,4.0,2.0,c09_p1
c10_p1_g2_count,60.0,24.0,control,4.0,2.0,c10_p1
c11_p1_g2_count,60.0,24.0,control,4.0,2.0,c11_p1
s11_p1_g2_count,60.0,30.0,control,3.0,2.0,s11_p1
s12_p1_g2_count,60.0,5.0,control,3.0,2.0,s12_p1
s14_p1_g2_count,60.0,0.0,control,3.0,2.0,s14_p1
s15_p1_g2_count,60.0,7.0,control,3.0,2.0,s15_p1
s16_p1_g2_count,60.0,44.0,control,3.0,2.0,s16_p1
s17_p1_g2_count,60.0,22.0,control,3.0,2.0,s17_p1
s19_p1_g2_count,60.0,9.0,control,3.0,2.0,s19_p1
s20_p1_g2_count,60.0,54.0,control,3.0,2.0,s20_p1
c01_p1_g2_count,90.0,60.0,control,4.0,2.0,c01_p1
c12_p1_g2_count,90.0,18.0,control,4.0,2.0,c12_p1
c13_p1_g2_count,90.0,47.0,control,4.0,2.0,c13_p1
c14_p1_g2_count,90.0,51.0,control,4.0,2.0,c14_p1
c15_p1_g2_count,90.0,82.0,control,4.0,2.0,c15_p1
c16_p1_g2_count,90.0,69.0,control,4.0,2.0,c16_p1
c17_p1_g2_count,90.0,63.0,control,4.0,2.0,c17_p1
c18_p1_g2_count,90.0,71.0,control,4.0,2.0,c18_p1
s01_p1_g2_count,90.0,46.0,control,3.0,2.0,s01_p1
s03_p1_g2_count,90.0,44.0,control,3.0,2.0,s03_p1
s05_p1_g2_count,90.0,89.0,control,3.0,2.0,s05_p1
s06_p1_g2_count,90.0,86.0,control,3.0,2.0,s06_p1
s07_p1_g2_count,90.0,50.0,control,3.0,2.0,s07_p1
s08_p1_g2_count,90.0,76.0,control,3.0,2.0,s08_p1
s09_p1_g2_count,90.0,49.0,control,3.0,2.0,s09_p1
c02_p1_g2_count,90.0,81.0,control,4.0,2.0,c02_p1
c03_p1_g2_count,90.0,83.0,control,4.0,2.0,c03_p1
c05_p1_g2_count,90.0,36.0,control,4.0,2.0,c05_p1
c06_p1_g2_count,90.0,30.0,control,4.0,2.0,c06_p1
c07_p1_g2_count,90.0,81.0,control,4.0,2.0,c07_p1
c09_p1_g2_count,90.0,18.0,control,4.0,2.0,c09_p1
c10_p1_g2_count,90.0,65.0,control,4.0,2.0,c10_p1
c11_p1_g2_count,90.0,67.0,control,4.0,2.0,c11_p1
s11_p1_g2_count,90.0,42.0,control,3.0,2.0,s11_p1
s12_p1_g2_count,90.0,88.0,control,3.0,2.0,s12_p1
s14_p1_g2_count,90.0,98.0,control,3.0,2.0,s14_p1
s15_p1_g2_count,90.0,90.0,control,3.0,2.0,s15_p1
s16_p1_g2_count,90.0,27.0,control,3.0,2.0,s16_p1
s17_p1_g2_count,90.0,78.0,control,3.0,2.0,s17_p1
s19_p1_g2_count,90.0,79.0,control,3.0,2.0,s19_p1
s20_p1_g2_count,90.0,37.0,control,3.0,2.0,s20_p1
m08_p1_g2_count,30.0,5.0,social,4.0,2.0,m08_p1
m08_p2_g2_count,30.0,1.0,social,4.0,2.0,m08_p2
