,variable,value,trial
212,m03_p1_g1,2,12
213,m03_p1_g1,2,13
214,m03_p1_g1,2,14
215,m03_p1_g1,2,15
216,m03_p1_g1,2,16
217,m03_p1_g1,2,17
218,m03_p1_g1,2,18
219,m03_p1_g1,2,19
220,m03_p1_g1,3,20
221,m03_p1_g1,3,21
222,m03_p1_g1,4,22
223,m03_p1_g1,4,23
224,m03_p1_g1,4,24
225,m03_p1_g1,4,25
226,m03_p1_g1,4,26
227,m03_p1_g1,5,27
228,m03_p1_g1,5,28
229,m03_p1_g1,5,29
230,m03_p1_g1,5,30
231,m03_p1_g1,5,31
232,m03_p1_g1,5,32
233,m03_p1_g1,5,33
234,m03_p1_g1,5,34
235,m03_p1_g1,6,35
236,m03_p1_g1,6,36
237,m03_p1_g1,6,37
238,m03_p1_g1,6,38
239,m03_p1_g1,7,39
240,m03_p1_g1,7,40
241,m03_p1_g1,7,41
242,m03_p1_g1,7,42
243,m03_p1_g1,8,43
244,m03_p1_g1,8,44
245,m03_p1_g1,8,45
246,m03_p1_g1,9,46
247,m03_p1_g1,9,47
248,m03_p1_g1,9,48
249,m03_p1_g1,10,49
250,m03_p1_g1,10,50
251,m03_p1_g1,10,51
252,m03_p1_g1,10,52
253,m03_p1_g1,10,53
254,m03_p1_g1,10,54
255,m03_p1_g1,11,55
256,m03_p1_g1,12,56
257,m03_p1_g1,13,57
258,m03_p1_g1,14,58
259,m03_p1_g1,15,59
260,m03_p1_g1,15,60
261,m03_p1_g1,15,61
262,m03_p1_g1,15,62
263,m03_p1_g1,15,63
264,m03_p1_g1,15,64
265,m03_p1_g1,15,65
266,m03_p1_g1,16,66
267,m03_p1_g1,16,67
268,m03_p1_g1,16,68
269,m03_p1_g1,17,69
270,m03_p1_g1,17,70
271,m03_p1_g1,17,71
272,m03_p1_g1,17,72
273,m03_p1_g1,17,73
274,m03_p1_g1,17,74
275,m03_p1_g1,18,75
276,m03_p1_g1,18,76
277,m03_p1_g1,18,77
278,m03_p1_g1,18,78
279,m03_p1_g1,18,79
280,m03_p1_g1,19,80
281,m03_p1_g1,19,81
282,m03_p1_g1,19,82
283,m03_p1_g1,19,83
284,m03_p1_g1,19,84
285,m03_p1_g1,20,85
286,m03_p1_g1,20,86
287,m03_p1_g1,20,87
288,m03_p1_g1,21,88
289,m03_p1_g1,21,89
290,m03_p1_g1,21,90
291,m03_p1_g1,21,91
292,m03_p1_g1,21,92
293,m03_p1_g1,22,93
294,m03_p1_g1,22,94
295,m03_p1_g1,23,95
296,m03_p1_g1,23,96
297,m03_p1_g1,23,97
298,m03_p1_g1,23,98
299,m03_p1_g1,24,99
300,m03_p2_g1,0,0
301,m03_p2_g1,0,1
302,m03_p2_g1,1,2
303,m03_p2_g1,1,3
304,m03_p2_g1,1,4
305,m03_p2_g1,1,5
306,m03_p2_g1,2,6
307,m03_p2_g1,2,7
308,m03_p2_g1,2,8
309,m03_p2_g1,3,9
310,m03_p2_g1,3,10
311,m03_p2_g1,3,11
312,m03_p2_g1,4,12
313,m03_p2_g1,4,13
314,m03_p2_g1,5,14
315,m03_p2_g1,5,15
316,m03_p2_g1,6,16
317,m03_p2_g1,6,17
318,m03_p2_g1,6,18
319,m03_p2_g1,7,19
320,m03_p2_g1,7,20
321,m03_p2_g1,8,21
322,m03_p2_g1,8,22
323,m03_p2_g1,8,23
324,m03_p2_g1,8,24
325,m03_p2_g1,9,25
326,m03_p2_g1,9,26
327,m03_p2_g1,9,27
328,m03_p2_g1,9,28
329,m03_p2_g1,10,29
330,m03_p2_g1,10,30
331,m03_p2_g1,10,31
332,m03_p2_g1,11,32
333,m03_p2_g1,11,33
334,m03_p2_g1,11,34
335,m03_p2_g1,12,35
336,m03_p2_g1,12,36
337,m03_p2_g1,12,37
338,m03_p2_g1,12,38
339,m03_p2_g1,13,39
340,m03_p2_g1,13,40
341,m03_p2_g1,13,41
342,m03_p2_g1,14,42
343,m03_p2_g1,15,43
344,m03_p2_g1,16,44
345,m03_p2_g1,16,45
346,m03_p2_g1,16,46
347,m03_p2_g1,16,47
348,m03_p2_g1,16,48
349,m03_p2_g1,16,49
350,m03_p2_g1,16,50
351,m03_p2_g1,17,51
352,m03_p2_g1,18,52
353,m03_p2_g1,19,53
354,m03_p2_g1,19,54
355,m03_p2_g1,20,55
356,m03_p2_g1,20,56
357,m03_p2_g1,20,57
358,m03_p2_g1,20,58
359,m03_p2_g1,21,59
360,m03_p2_g1,21,60
361,m03_p2_g1,21,61
362,m03_p2_g1,22,62
363,m03_p2_g1,22,63
364,m03_p2_g1,22,64
365,m03_p2_g1,22,65
366,m03_p2_g1,23,66
367,m03_p2_g1,23,67
368,m03_p2_g1,23,68
369,m03_p2_g1,24,69
370,m03_p2_g1,25,70
371,m03_p2_g1,26,71
372,m03_p2_g1,26,72
373,m03_p2_g1,26,73
374,m03_p2_g1,26,74
375,m03_p2_g1,26,75
376,m03_p2_g1,27,76
377,m03_p2_g1,28,77
378,m03_p2_g1,28,78
379,m03_p2_g1,29,79
380,m03_p2_g1,30,80
381,m03_p2_g1,30,81
382,m03_p2_g1,30,82
383,m03_p2_g1,30,83
384,m03_p2_g1,30,84
385,m03_p2_g1,30,85
386,m03_p2_g1,31,86
387,m03_p2_g1,31,87
388,m03_p2_g1,32,88
389,m03_p2_g1,32,89
390,m03_p2_g1,32,90
391,m03_p2_g1,32,91
392,m03_p2_g1,33,92
393,m03_p2_g1,34,93
394,m03_p2_g1,34,94
395,m03_p2_g1,34,95
396,m03_p2_g1,35,96
397,m03_p2_g1,36,97
398,m03_p2_g1,36,98
399,m03_p2_g1,36,99
400,m05_p1_g1,0,0
401,m05_p1_g1,1,1
402,m05_p1_g1,2,2
403,m05_p1_g1,2,3
404,m05_p1_g1,2,4
405,m05_p1_g1,2,5
406,m05_p1_g1,2,6
407,m05_p1_g1,2,7
408,m05_p1_g1,2,8
409,m05_p1_g1,2,9
410,m05_p1_g1,3,10
411,m05_p1_g1,3,11
412,m05_p1_g1,3,12
413,m05_p1_g1,4,13
414,m05_p1_g1,4,14
415,m05_p1_g1,5,15
416,m05_p1_g1,5,16
417,m05_p1_g1,5,17
418,m05_p1_g1,5,18
419,m05_p1_g1,5,19
420,m05_p1_g1,5,20
421,m05_p1_g1,5,21
422,m05_p1_g1,5,22
423,m05_p1_g1,5,23
