,30.0,block,game,participant,condition,experiment,dyad,mapping
157,3.0,1,2,c11_p1,control,4.0,c11,d
158,2.0,2,2,c11_p1,control,4.0,c11,d
159,1.0,3,2,c11_p1,control,4.0,c11,d
161,14.0,1,2,c12_p1,control,4.0,c12,s
162,7.0,2,2,c12_p1,control,4.0,c12,s
163,14.0,3,2,c12_p1,control,4.0,c12,s
165,6.0,1,2,c13_p1,control,4.0,c13,s
166,7.0,2,2,c13_p1,control,4.0,c13,s
167,5.0,3,2,c13_p1,control,4.0,c13,s
169,6.0,1,2,c14_p1,control,4.0,c14,s
170,7.0,2,2,c14_p1,control,4.0,c14,s
171,4.0,3,2,c14_p1,control,4.0,c14,s
173,1.0,1,2,c15_p1,control,4.0,c15,s
174,0.0,2,2,c15_p1,control,4.0,c15,s
175,0.0,3,2,c15_p1,control,4.0,c15,s
177,2.0,1,2,c16_p1,control,4.0,c16,s
178,4.0,2,2,c16_p1,control,4.0,c16,s
179,1.0,3,2,c16_p1,control,4.0,c16,s
181,0.0,1,2,c17_p1,control,4.0,c17,s
182,3.0,2,2,c17_p1,control,4.0,c17,s
183,5.0,3,2,c17_p1,control,4.0,c17,s
185,2.0,1,2,c18_p1,control,4.0,c18,s
186,8.0,2,2,c18_p1,control,4.0,c18,s
187,3.0,3,2,c18_p1,control,4.0,c18,s
189,13.0,1,2,s01_p1,control,3.0,s01,d
190,13.0,2,2,s01_p1,control,3.0,s01,d
191,9.0,3,2,s01_p1,control,3.0,s01,d
193,8.0,1,2,s03_p1,control,3.0,s03,d
194,6.0,2,2,s03_p1,control,3.0,s03,d
195,9.0,3,2,s03_p1,control,3.0,s03,d
197,1.0,1,2,s05_p1,control,3.0,s05,d
198,0.0,2,2,s05_p1,control,3.0,s05,d
199,0.0,3,2,s05_p1,control,3.0,s05,d
201,0.0,1,2,s06_p1,control,3.0,s06,d
202,0.0,2,2,s06_p1,control,3.0,s06,d
203,0.0,3,2,s06_p1,control,3.0,s06,d
205,7.0,1,2,s07_p1,control,3.0,s07,d
206,5.0,2,2,s07_p1,control,3.0,s07,d
207,4.0,3,2,s07_p1,control,3.0,s07,d
209,2.0,1,2,s08_p1,control,3.0,s08,d
210,2.0,2,2,s08_p1,control,3.0,s08,d
211,2.0,3,2,s08_p1,control,3.0,s08,d
213,6.0,1,2,s09_p1,control,3.0,s09,d
214,4.0,2,2,s09_p1,control,3.0,s09,d
215,0.0,3,2,s09_p1,control,3.0,s09,d
217,13.0,1,2,s11_p1,control,3.0,s11,s
218,7.0,2,2,s11_p1,control,3.0,s11,s
219,6.0,3,2,s11_p1,control,3.0,s11,s
221,4.0,1,2,s12_p1,control,3.0,s12,s
222,1.0,2,2,s12_p1,control,3.0,s12,s
223,1.0,3,2,s12_p1,control,3.0,s12,s
225,2.0,1,2,s14_p1,control,3.0,s14,s
226,0.0,2,2,s14_p1,control,3.0,s14,s
227,0.0,3,2,s14_p1,control,3.0,s14,s
229,2.0,1,2,s15_p1,control,3.0,s15,s
230,0.0,2,2,s15_p1,control,3.0,s15,s
231,1.0,3,2,s15_p1,control,3.0,s15,s
233,13.0,1,2,s16_p1,control,3.0,s16,s
234,9.0,2,2,s16_p1,control,3.0,s16,s
235,4.0,3,2,s16_p1,control,3.0,s16,s
237,0.0,1,2,s17_p1,control,3.0,s17,s
238,0.0,2,2,s17_p1,control,3.0,s17,s
239,0.0,3,2,s17_p1,control,3.0,s17,s
241,2.0,1,2,s19_p1,control,3.0,s19,s
242,3.0,2,2,s19_p1,control,3.0,s19,s
243,2.0,3,2,s19_p1,control,3.0,s19,s
245,4.0,1,2,s20_p1,control,3.0,s20,s
246,2.0,2,2,s20_p1,control,3.0,s20,s
247,3.0,3,2,s20_p1,control,3.0,s20,s
249,12.0,1,1,m01_p1,social,4.0,m01,d
250,9.0,2,1,m01_p1,social,4.0,m01,d
251,10.0,3,1,m01_p1,social,4.0,m01,d
253,11.0,1,1,m01_p2,social,4.0,m01,d
254,7.0,2,1,m01_p2,social,4.0,m01,d
255,13.0,3,1,m01_p2,social,4.0,m01,d
257,5.0,1,1,m03_p1,social,4.0,m03,d
258,10.0,2,1,m03_p1,social,4.0,m03,d
259,7.0,3,1,m03_p1,social,4.0,m03,d
261,10.0,1,1,m03_p2,social,4.0,m03,d
262,12.0,2,1,m03_p2,social,4.0,m03,d
263,12.0,3,1,m03_p2,social,4.0,m03,d
265,2.0,1,1,m05_p1,social,4.0,m05,d
266,3.0,2,1,m05_p1,social,4.0,m05,d
267,3.0,3,1,m05_p1,social,4.0,m05,d
269,2.0,1,1,m05_p2,social,4.0,m05,d
270,3.0,2,1,m05_p2,social,4.0,m05,d
271,6.0,3,1,m05_p2,social,4.0,m05,d
273,6.0,1,1,m08_p1,social,4.0,m08,s
274,3.0,2,1,m08_p1,social,4.0,m08,s
275,1.0,3,1,m08_p1,social,4.0,m08,s
277,5.0,1,1,m08_p2,social,4.0,m08,s
278,1.0,2,1,m08_p2,social,4.0,m08,s
279,1.0,3,1,m08_p2,social,4.0,m08,s
281,10.0,1,1,m10_p1,social,4.0,m10,s
282,5.0,2,1,m10_p1,social,4.0,m10,s
283,3.0,3,1,m10_p1,social,4.0,m10,s
285,9.0,1,1,m10_p2,social,4.0,m10,s
286,10.0,2,1,m10_p2,social,4.0,m10,s
287,7.0,3,1,m10_p2,social,4.0,m10,s
289,15.0,1,1,m11_p1,social,4.0,m11,s
290,0.0,2,1,m11_p1,social,4.0,m11,s
291,0.0,3,1,m11_p1,social,4.0,m11,s
293,0.0,1,1,m11_p2,social,4.0,m11,s
294,0.0,2,1,m11_p2,social,4.0,m11,s
295,0.0,3,1,m11_p2,social,4.0,m11,s
297,11.0,1,1,m13_p1,social,4.0,m13,s
298,14.0,2,1,m13_p1,social,4.0,m13,s
299,4.0,3,1,m13_p1,social,4.0,m13,s
301,10.0,1,1,m13_p2,social,4.0,m13,s
302,9.0,2,1,m13_p2,social,4.0,m13,s
303,10.0,3,1,m13_p2,social,4.0,m13,s
305,5.0,1,1,m14_p1,social,4.0,m14,s
306,11.0,2,1,m14_p1,social,4.0,m14,s
307,7.0,3,1,m14_p1,social,4.0,m14,s
309,11.0,1,1,m14_p2,social,4.0,m14,s
310,12.0,2,1,m14_p2,social,4.0,m14,s
311,9.0,3,1,m14_p2,social,4.0,m14,s
313,12.0,1,1,j01_p1,social,3.0,j01,d
314,11.0,2,1,j01_p1,social,3.0,j01,d
315,12.0,3,1,j01_p1,social,3.0,j01,d
317,10.0,1,1,j01_p2,social,3.0,j01,d
318,12.0,2,1,j01_p2,social,3.0,j01,d
319,9.0,3,1,j01_p2,social,3.0,j01,d
321,11.0,1,1,j02_p1,social,3.0,j02,d
322,12.0,2,1,j02_p1,social,3.0,j02,d
323,8.0,3,1,j02_p1,social,3.0,j02,d
325,10.0,1,1,j02_p2,social,3.0,j02,d
326,5.0,2,1,j02_p2,social,3.0,j02,d
327,7.0,3,1,j02_p2,social,3.0,j02,d
329,9.0,1,1,j03_p1,social,3.0,j03,d
330,8.0,2,1,j03_p1,social,3.0,j03,d
331,1.0,3,1,j03_p1,social,3.0,j03,d
333,11.0,1,1,j03_p2,social,3.0,j03,d
334,10.0,2,1,j03_p2,social,3.0,j03,d
335,4.0,3,1,j03_p2,social,3.0,j03,d
337,8.0,1,1,j04_p1,social,3.0,j04,d
338,7.0,2,1,j04_p1,social,3.0,j04,d
339,6.0,3,1,j04_p1,social,3.0,j04,d
341,14.0,1,1,j04_p2,social,3.0,j04,d
342,8.0,2,1,j04_p2,social,3.0,j04,d
343,6.0,3,1,j04_p2,social,3.0,j04,d
345,1.0,1,1,j05_p1,social,3.0,j05,d
346,1.0,2,1,j05_p1,social,3.0,j05,d
347,2.0,3,1,j05_p1,social,3.0,j05,d
349,4.0,1,1,j05_p2,social,3.0,j05,d
350,4.0,2,1,j05_p2,social,3.0,j05,d
351,4.0,3,1,j05_p2,social,3.0,j05,d
353,14.0,1,1,j06_p1,social,3.0,j06,d
354,10.0,2,1,j06_p1,social,3.0,j06,d
355,9.0,3,1,j06_p1,social,3.0,j06,d
357,17.0,1,1,j06_p2,social,3.0,j06,d
358,12.0,2,1,j06_p2,social,3.0,j06,d
359,12.0,3,1,j06_p2,social,3.0,j06,d
361,2.0,1,1,j07_p1,social,3.0,j07,d
362,0.0,2,1,j07_p1,social,3.0,j07,d
363,2.0,3,1,j07_p1,social,3.0,j07,d
365,3.0,1,1,j07_p2,social,3.0,j07,d
366,1.0,2,1,j07_p2,social,3.0,j07,d
367,3.0,3,1,j07_p2,social,3.0,j07,d
369,6.0,1,1,j08_p1,social,3.0,j08,d
