,variable,value,condition,experiment,game,participant
s17_p1_g2_count,30.0,0.0,control,3.0,2.0,s17_p1
s19_p1_g2_count,30.0,12.0,control,3.0,2.0,s19_p1
s20_p1_g2_count,30.0,10.0,control,3.0,2.0,s20_p1
m08_p1_g2_count,30.0,5.0,social,4.0,2.0,m08_p1
m08_p2_g2_count,30.0,1.0,social,4.0,2.0,m08_p2
m10_p1_g2_count,30.0,28.0,social,4.0,2.0,m10_p1
m10_p2_g2_count,30.0,25.0,social,4.0,2.0,m10_p2
m11_p1_g2_count,30.0,0.0,social,4.0,2.0,m11_p1
m11_p2_g2_count,30.0,0.0,social,4.0,2.0,m11_p2
m13_p1_g2_count,30.0,22.0,social,4.0,2.0,m13_p1
m13_p2_g2_count,30.0,27.0,social,4.0,2.0,m13_p2
m14_p1_g2_count,30.0,39.0,social,4.0,2.0,m14_p1
m14_p2_g2_count,30.0,33.0,social,4.0,2.0,m14_p2
j10_p1_g2_count,30.0,21.0,social,3.0,2.0,j10_p1
j10_p2_g2_count,30.0,14.0,social,3.0,2.0,j10_p2
j11_p1_g2_count,30.0,0.0,social,3.0,2.0,j11_p1
j11_p2_g2_count,30.0,0.0,social,3.0,2.0,j11_p2
m01_p1_g2_count,30.0,15.0,social,4.0,2.0,m01_p1
m01_p2_g2_count,30.0,31.0,social,4.0,2.0,m01_p2
m03_p1_g2_count,30.0,34.0,social,4.0,2.0,m03_p1
m03_p2_g2_count,30.0,45.0,social,4.0,2.0,m03_p2
m05_p1_g2_count,30.0,3.0,social,4.0,2.0,m05_p1
m05_p2_g2_count,30.0,3.0,social,4.0,2.0,m05_p2
j01_p1_g2_count,30.0,18.0,social,3.0,2.0,j01_p1
j01_p2_g2_count,30.0,26.0,social,3.0,2.0,j01_p2
j02_p1_g2_count,30.0,27.0,social,3.0,2.0,j02_p1
j02_p2_g2_count,30.0,9.0,social,3.0,2.0,j02_p2
j03_p1_g2_count,30.0,7.0,social,3.0,2.0,j03_p1
j03_p2_g2_count,30.0,10.0,social,3.0,2.0,j03_p2
