,value,trial,game,participant,condition,experiment,dyad,mapping
92,32.0,92,1,c01_p1,control,4.0,c01,s
93,32.0,93,1,c01_p1,control,4.0,c01,s
94,32.0,94,1,c01_p1,control,4.0,c01,s
95,32.0,95,1,c01_p1,control,4.0,c01,s
96,32.0,96,1,c01_p1,control,4.0,c01,s
97,32.0,97,1,c01_p1,control,4.0,c01,s
98,32.0,98,1,c01_p1,control,4.0,c01,s
99,33.0,99,1,c01_p1,control,4.0,c01,s
100,0.0,0,1,c02_p1,control,4.0,c02,d
101,0.0,1,1,c02_p1,control,4.0,c02,d
102,0.0,2,1,c02_p1,control,4.0,c02,d
103,0.0,3,1,c02_p1,control,4.0,c02,d
104,1.0,4,1,c02_p1,control,4.0,c02,d
105,2.0,5,1,c02_p1,control,4.0,c02,d
106,2.0,6,1,c02_p1,control,4.0,c02,d
107,3.0,7,1,c02_p1,control,4.0,c02,d
108,3.0,8,1,c02_p1,control,4.0,c02,d
109,3.0,9,1,c02_p1,control,4.0,c02,d
110,4.0,10,1,c02_p1,control,4.0,c02,d
111,4.0,11,1,c02_p1,control,4.0,c02,d
112,4.0,12,1,c02_p1,control,4.0,c02,d
113,5.0,13,1,c02_p1,control,4.0,c02,d
114,5.0,14,1,c02_p1,control,4.0,c02,d
115,6.0,15,1,c02_p1,control,4.0,c02,d
116,6.0,16,1,c02_p1,control,4.0,c02,d
117,7.0,17,1,c02_p1,control,4.0,c02,d
118,7.0,18,1,c02_p1,control,4.0,c02,d
119,8.0,19,1,c02_p1,control,4.0,c02,d
120,8.0,20,1,c02_p1,control,4.0,c02,d
121,9.0,21,1,c02_p1,control,4.0,c02,d
122,9.0,22,1,c02_p1,control,4.0,c02,d
123,10.0,23,1,c02_p1,control,4.0,c02,d
124,11.0,24,1,c02_p1,control,4.0,c02,d
125,11.0,25,1,c02_p1,control,4.0,c02,d
126,12.0,26,1,c02_p1,control,4.0,c02,d
127,13.0,27,1,c02_p1,control,4.0,c02,d
128,13.0,28,1,c02_p1,control,4.0,c02,d
129,13.0,29,1,c02_p1,control,4.0,c02,d
130,13.0,30,1,c02_p1,control,4.0,c02,d
131,13.0,31,1,c02_p1,control,4.0,c02,d
132,13.0,32,1,c02_p1,control,4.0,c02,d
133,14.0,33,1,c02_p1,control,4.0,c02,d
134,15.0,34,1,c02_p1,control,4.0,c02,d
135,16.0,35,1,c02_p1,control,4.0,c02,d
136,17.0,36,1,c02_p1,control,4.0,c02,d
137,18.0,37,1,c02_p1,control,4.0,c02,d
138,19.0,38,1,c02_p1,control,4.0,c02,d
139,20.0,39,1,c02_p1,control,4.0,c02,d
140,21.0,40,1,c02_p1,control,4.0,c02,d
141,22.0,41,1,c02_p1,control,4.0,c02,d
142,22.0,42,1,c02_p1,control,4.0,c02,d
143,22.0,43,1,c02_p1,control,4.0,c02,d
144,23.0,44,1,c02_p1,control,4.0,c02,d
145,24.0,45,1,c02_p1,control,4.0,c02,d
146,25.0,46,1,c02_p1,control,4.0,c02,d
147,25.0,47,1,c02_p1,control,4.0,c02,d
148,25.0,48,1,c02_p1,control,4.0,c02,d
149,25.0,49,1,c02_p1,control,4.0,c02,d
150,25.0,50,1,c02_p1,control,4.0,c02,d
151,25.0,51,1,c02_p1,control,4.0,c02,d
