SessionNum,m07,,,,,,,
SessionDate,02/24/2020,,,,,,,
Player1ID,m07a,,,,,,,
Player2ID,m07b,,,,,,,
TesterName,Jia-hui,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,m07b/000,,,,,,,
LSLFileName,N/A,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time ,Comment1,Comment2
1,155,1,1,,1,11:20.543,,
1,156,2,1,,1,11:23.492,,
1,157,1,1,,1,11:26.742,,
1,158,2,1,,1,11:29.802,,
1,159,1,1,,1,11:33.072,,
1,160,2,1,,1,11:36.011,11:37.258,
1,161,1,1,,1,11:38.838,,
1,162,2,1,,0,11:41.596,,
1,163,1,1,,0,11:45.148,,
1,164,2,1,,1,11:50.362,,
1,165,1,1,,1,11:53.411,,
1,166,2,1,,0,11:56.160,,
1,167,1,2,,1,11:59.991,,
1,168,2,1,,1,12:02.619,,
1,169,1,2,,1,12:05.607,,
1,170,2,2,,1,12:08.115,12:09.359,
1,171,1,2,,1,12:10.823,,
1,172,2,1,,1,12:13.370,,
1,173,1,2,,0,12:16.038,,
1,174,2,2,,0,12:18.786,,
1,175,1,1,,1,12:21.755,,
1,176,2,1,,1,12:24.824,,
1,177,1,1,,1,12:27.673,,
1,178,2,1,,1,12:30.381,,
1,179,1,1,,1,12:33.477,,
1,180,2,1,,1,12:36.133,12:37.381,
1,181,1,1,,1,12:39.243,,
1,182,2,1,,1,12:41.829,,
1,183,1,1,,1,12:44.677,,
1,184,2,1,,1,12:47.354,,
1,185,1,1,,1,12:50.604,,
1,186,2,1,,1,12:53.533,,
1,187,1,1,,1,12:56.974,,
1,188,2,1,,1,12:59.933,,
1,189,1,1,,1,13:02.358,,
1,190,2,1,,1,13:05.236,13:06.504,
1,191,1,1,,1,13:08.728,,
1,192,2,1,,1,13:11.526,,
1,193,1,1,,1,13:15.672,,
1,194,2,1,,1,13:18.530,,
1,195,1,1,,1,13:21.941,,
1,196,2,1,,1,13:24.749,,
1,197,1,1,,1,13:27.898,,
1,198,2,1,,1,13:30.666,,
1,199,1,1,,1,13:33.997,,
1,200,2,1,,1,13:36.945,13:38.203,
2,1,1,1,,1,14:02.327,,GreyScreen 13:40.175(1st touch no response)
2,2,2,1,,1,14:07.500,,
2,3,1,1,,1,14:09.855,,2Tou (14:10.901 = 2nd tou. no response)
2,4,2,1,,1,14:12.753,,
2,5,1,1,,1,14:15.883,,
2,6,2,1,,1,14:18.740,,
2,7,1,1,,1,14:22.273,,
2,8,2,1,,1,14:25.322,,
2,9,1,1,,1,14:28.693,,
2,10,2,1,,1,14:31.460,14:32.648,
2,11,1,1,,1,14:34.510,,
2,12,2,1,,0,14:37.106,,
2,13,1,1,,1,14:40.487,,
