SessionNum,m01,,,,,,,
SessionDate,Not on file,,,,,,,
Player1ID,m01a,,,,,,,
Player2ID,m01b,,,,,,,
TesterName,Not on file,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,m01b,,,,,,,
LSLFileName,m01.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time ,Comment1,Comment2
1,155,1,3,,0,10:02.651,,
1,156,2,1,,0,10:06.337,,
1,157,1,1,,1,10:09.521,,
1,158,2,3,,1,10:13.307,,
1,159,1,1,,1,10:17.295,,
1,160,2,3,,1,10:20.210,10:21.450,
1,161,1,2,,1,10:23.863,,
1,162,2,2,,0,10:26.946,,
1,163,1,2,,1,10:34.285,,2 Tou
1,164,2,2,,1,10:37.770,,
1,165,1,3,,0,10:40.953,,
1,166,2,3,,1,10:44.338,,
1,167,1,2,,0,10:47.354,,
1,168,2,3,,1,10:50.470,,
1,169,1,3,,0,10:54.291,,
1,170,2,1,,0,10:58.513,10:59.786,
1,171,1,2,,1,11:01.797,,
1,172,2,1,,0,11:05.550,,
1,173,1,2,,1,11:08.935,,
1,174,2,1,,0,11:12.353,,
1,175,1,3,,0,11:15.938,,
1,176,2,1,,0,11:19.122,,
1,177,1,2,,1,11:22.272,,
1,178,2,1,,0,11:25.690,,
1,179,1,3,,0,11:29.108,,
1,180,2,1,,1,11:32.895,11:34.235,
1,181,1,1,,1,11:36.145,,
1,182,2,3,,1,11:39.228,,
1,183,1,2,,0,11:42.244,,
1,184,2,2,,1,11:45.494,,
1,185,1,3,,1,11:49.181,,
1,186,2,1,,0,11:52.465,,
1,187,1,1,,1,11:56.519,,
1,188,2,1,,0,11:59.803,,
1,189,1,3,,0,12:02.853,,
1,190,2,1,,0,12:05.735,12:07.008,
1,191,1,2,,1,12:08.684,,
1,192,2,1,,0,12:11.700,,
1,193,1,1,,1,12:15.151,,
1,194,2,1,,1,12:18.368,,
1,195,1,2,,1,12:21.920,,
1,196,2,3,,0,12:24.970,,
1,197,1,3,,1,12:28.120,,
1,198,2,2,,0,12:30.834,,
1,199,1,2,,0,12:34.487,,
1,200,2,3,,1,12:37.335,12:38.608,
2,1,1,3,,0,13:02.702,,
2,2,2,2,,1,13:06.288,,
2,3,1,1,,1,13:09.572,,
2,4,2,3,,0,13:12.554,,
2,5,1,3,,1,13:15.470,,
2,6,2,1,,0,13:18.151,,
2,7,1,2,,1,13:21.267,,
2,8,2,3,,1,13:24.283,,
2,9,1,1,,0,13:27.969,,
2,10,2,1,,1,13:30.784,13:32.091,
2,11,1,2,,0,13:34.001,,
2,12,2,1,,1,13:36.984,,
2,13,1,1,,0,13:39.899,,
2,14,2,1,,1,13:42.848,,
2,15,1,3,,1,13:46.065,,
2,16,2,2,,1,13:49.315,,
2,17,1,2,,1,13:52.968,,
2,18,2,3,,0,13:56.922,,
2,19,1,3,,1,13:59.871,,
2,20,2,1,,0,14:02.787,14:04.060,
2,21,1,3,,1,14:05.903,,
2,22,2,2,,1,14:08.952,,
2,23,1,2,,0,14:12.337,,
2,24,2,2,,1,14:15.051,,
2,25,1,1,,1,14:17.900,,
2,26,2,2,,1,14:20.581,,
2,27,1,3,,1,14:23.798,,
2,28,2,2,,1,14:26.679,,
2,29,1,1,,0,15:06.322,,
2,30,2,3,,0,15:09.472,15:10.679,
2,31,1,2,,0,15:12.321,,
2,32,2,2,,1,15:14.968,,
