SessionNum,M09,,,,,,
SessionDate,2/26/2020,,,,,,
Player1ID,M09A,,,,,,
Player2ID,M09B,,,,,,
TesterName,Selena,,,,,,
CoderName,Mya Haas,,,,,,
VideoFileName,,,,,,,
LSLFileName,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,
1,1,1,1,,1,00:10.117,
1,2,2,3,,1,00:14.610,
1,3,1,2,,1,00:18.461,00:22.012
1,4,2,1,,0,00:27.408,
1,5,1,3,,0,00:31.720,
1,6,2,1,,1,00:36.073,
1,7,1,2,,1,00:41.048,
1,8,2,3,,0,00:45.561,
1,9,1,3,,0,00:50.095,
1,10,2,2,,1,00:54.427,
1,11,1,3,,1,00:58.399,
1,12,2,1,,1,1:02.451,
1,13,1,2,,1,1:07.025,
1,14,2,1,,1,1:10.455,
1,15,1,3,,0,1:14.246,1:15.971
1,16,2,1,,1,1:20.304,
1,17,1,2,,1,1:24.556,
1,18,2,3,,0,1:28.729,
1,19,1,1,,1,1:36.030,
1,20,2,2,,1,1:39.681,
1,21,1,3,,0,1:43.171,
1,22,2,1,,0,1:47.063,
1,23,1,2,,0,1:52.338,
1,24,2,2,,1,1:56.631,
1,25,1,1,,1,2:00.362,
1,26,2,3,,1,2:04.595,
1,27,1,2,,0,2:08.626,
1,28,2,1,,1,2:12.779,
1,29,1,3,,0,2:16.169,
1,30,2,2,,1,2:21.184,
1,31,1,1,,1,2:25.717,
1,32,2,3,,1,2:31.333,
1,33,1,2,,1,2:35.085,
1,34,2,1,,1,2:41.102,
1,35,1,3,,1,2:44.914,2:46.940
1,36,2,2,,1,2:51.694,
1,37,1,1,,1,2:56.508,
1,38,2,1,,0,3:01.703,
1,39,1,2,,0,3:05.936,
1,40,2,3,,0,3:09.767,3:11.993
1,41,1,2,,0,3:16.005,
1,42,2,2,,1,3:19.857,
1,43,1,1,,1,3:24.671,
1,44,2,3,,1,3:28.964,
1,45,1,2,,1,3:32.975,
1,46,2,1,,1,3:36.426,
1,47,1,3,,1,3:40.839,
1,48,2,2,,1,3:44.650,3:46.415
1,49,1,1,,1,3:50.908,
1,50,2,3,,0,3:55.281,
1,51,1,2,,0,3:59.855,
1,52,2,2,,0,4:04.749,
1,53,1,3,,0,4:08.340,
1,54,2,1,,1,4:12.392,
1,55,1,3,,0,4:16.143,4:17.206
1,56,2,2,,1,4:21.258,
1,57,1,1,,1,4:25.631,
1,58,2,1,,1,4:30.826,
1,59,1,3,,1,4:34.537,
1,60,2,3,,0,4:39.010,
1,61,1,2,,0,4:43.002,
1,62,2,3,,0,4:47.495,
1,63,1,1,,0,4:52.049,
1,64,2,2,,1,4:56.201,
1,65,1,3,,0,5:00.514,
1,66,2,1,,1,5:05.428,
1,67,1,1,,1,5:09.280,
1,68,2,2,,1,5:13.632,
1,69,1,3,,1,5:17.063,
1,70,2,2,,1,5:21.756,
1,71,1,1,,0,5:25.026,
1,72,2,3,,0,5:28.897,
1,73,1,1,,1,5:33.451,
1,74,2,2,,1,5:38.787,
1,75,1,1,,1,5:42.478,
1,76,2,2,,1,5:46.509,
1,77,1,3,,0,5:51.284,
1,78,2,1,,0,5:55.175,
1,79,1,3,,1,5:58.445,
1,80,2,2,,1,6:02.477,
1,81,1,3,,1,6:05.746,
1,82,2,1,,1,6:10.199,
1,83,1,1,,1,6:14.051,
1,84,2,3,,0,6:18.203,
1,85,1,2,,0,6:21.252,
1,86,2,1,,1,6:24.682,
1,87,1,2,,0,6:27.952,
1,88,2,1,,1,6:31.562,
1,89,1,3,,0,6:35.434,
1,90,2,1,,1,6:38.443,
