SessionNum,m03,,,,,,,
SessionDate,2019_10_18,,,,,,,
Player1ID,did not find session info in the google doc,,,,,,,
Player2ID,,,,,,,,
TesterName,,,,,,,,
CoderName,Kexin Quan,,,,,,,
VideoFileName,m03b,,,,,,,
LSLFileName,m03.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,150,2,1,,1,09:19.624,09:20.864,
1,151,1,3,,1,09:22.338,,
1,152,2,2,,0,09:25.387,,
1,153,1,2,,1,09:28.269,,
1,154,2,2,,1,09:30.749,,
1,155,1,2,,1,09:33.698,,
1,156,2,1,,1,09:36.446,,
1,157,1,3,,0,09:39.127,,
1,158,2,2,,0,09:41.774,,
1,159,1,1,,1,09:44.824,,
1,160,2,2,,0,09:47.772,09:48.945,
1,161,1,2,,1,09:50.554,,
1,162,2,1,,1,09:53.335,,
1,163,1,3,,1,09:56.150,,
1,164,2,1,,1,09:59.132,,
1,165,1,3,,0,10:01.880,,
1,166,2,3,,1,10:05.461,,
1,167,1,2,,1,10:09.208,,
1,168,2,1,,1,10:09.621,,
1,169,1,1,,0,10:12.235,,
1,170,2,1,,1,10:14.916,10:16.089,
1,171,1,3,,0,10:17.731,,
1,172,2,2,,0,10:20.680,,
1,173,1,3,,1,10:23.427,,
1,174,2,1,,1,10:25.874,,
1,175,1,1,,0,10:28.722,,
1,176,2,2,,0,10:31.537,,
1,177,1,2,,1,10:34.285,,
1,178,2,1,,0,10:37.100,,
1,179,1,3,,1,10:39.948,,
1,180,2,3,,1,10:42.830,10:44.070,
1,181,1,3,,0,10:45.712,,
1,182,2,1,,1,10:48.061,,
1,183,1,2,,1,10:51.610,,
1,184,2,2,,1,10:54.827,,
1,185,1,1,,1,10:57.809,,
1,186,2,2,,1,11:00.456,,
1,187,1,3,,0,11:03.204,,
1,188,2,3,,1,11:05.919,,
1,189,1,1,,0,11:08.935,,
1,190,2,3,,1,11:11.548,11:12.721,
1,191,1,3,,1,11:14.229,,
1,192,2,2,,1,11:16.843,,
1,193,1,2,,1,11:19.859,,
1,194,2,2,,0,11:22.573,,
1,195,1,2,,1,11:25.455,,
1,196,2,1,,1,11:28.203,,
1,197,1,1,,0,11:31.320,,
1,198,2,1,,1,11:34.134,,
1,199,1,3,,0,11:36.849,,
1,200,2,2,,0,11:39.798,11:41.038,
2,1,1,3,,1,13:36.313,,
2,2,2,1,,0,13:38.961,,
2,3,1,3,,1,13:41.843,,
2,4,2,2,,1,13:44.356,,
2,5,1,2,,0,13:46.869,,
2,6,2,1,,0,13:49.483,,
2,7,1,3,,1,13:52.298,,
2,8,2,1,,0,13:54.845,,
2,9,1,3,,0,13:57.525,,
2,10,2,2,,1,14:00.273,14:01.413,
2,11,1,2,,0,14:03.189,,
2,12,2,3,,1,14:05.802,,
2,13,1,3,,0,14:08.483,,
