SessionNum,s14,,,,,,,
SessionDate,Not in file,,,,,,,
Player1ID,,,,,,,,
Player2ID,,,,,,,,
TesterName,Not in file,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,2020_02_01/000,,,,,,,
LSLFileName,Not in file,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,189,1,2,,1,14:36.565,14:37.771,
1,190,2,,,,,,
1,191,1,2,,1,14:40.586,,
1,192,2,,,,,,
1,193,1,2,,1,14:44.205,,
1,194,2,,,,,,
1,195,1,2,,1,14:48.026,,
1,196,2,,,,,,
1,197,1,2,,1,14:51.410,,
1,198,2,,,,,,
1,199,1,2,,1,14:54.996,14:56.236,
1,200,2,,,,,,
2,1,1,2,,1,15:08.467,,
2,2,2,,,,,,
2,3,1,2,,0,15:12.287,,
2,4,2,,,,,,
2,5,1,2,,1,15:15.102,,
2,6,2,,,,,,
2,7,1,2,,1,15:19.726,,
2,8,2,,,,,,
2,9,1,2,,1,15:23.379,15:24.485,
2,10,2,,,,,,
2,11,1,2,,1,15:26.563,,
2,12,2,,,,,,
2,13,1,2,,1,15:31.556,,
2,14,2,,,,,,
2,15,1,2,,1,15:35.074,,
2,16,2,,,,,,
2,17,1,2,,1,15:38.492,,
2,18,2,,,,,,
2,19,1,2,,1,15:41.810,15:42.949,
2,20,2,,,,,,
2,21,1,2,,1,15:45.094,,
2,22,2,,,,,,
2,23,1,2,,1,15:48.344,,
2,24,2,,,,,,
2,25,1,2,,1,15:51.494,,
2,26,2,,,,,,
2,27,1,2,,0,15:54.778,,
2,28,2,,,,,,
2,29,1,2,,1,15:57.694,15:58.800,
2,30,2,,,,,,
2,31,1,2,,1,16:00.944,,
2,32,2,,,,,,
2,33,1,2,,1,16:04.530,,
2,34,2,,,,,,
2,35,1,2,,1,16:07.512,,
2,36,2,,,,,,
2,37,1,2,,0,16:11.098,,
2,38,2,,,,,,
2,39,1,2,,1,16:14.784,16:15.923,
2,40,2,,,,,,
2,41,1,2,,1,16:18.303,,
2,42,2,,,,,,
2,43,1,2,,1,16:21.788,,
2,44,2,,,,,,
2,45,1,2,,1,16:25.541,,
2,46,2,,,,,,
2,47,1,2,,1,16:29.193,,
2,48,2,,,,,,
2,49,1,2,,1,16:34.086,16:35.225,
2,50,2,,,,,,
2,51,1,2,,1,16:37.940,,
2,52,2,,,,,,
2,53,1,2,,0,16:41.592,,
2,54,2,,,,,,
2,55,1,2,,1,16:44.709,,
2,56,2,,,,,,
2,57,1,2,,0,16:49.568,,
2,58,2,,,,,,
2,59,1,2,,1,16:54.393,16:55.533,
2,60,2,,,,,,
2,61,1,3,,0,16:57.845,,
2,62,2,,,,,,
2,63,1,2,,1,17:01.363,,
2,64,2,,,,,,
2,65,1,3,,0,17:05.083,,
2,66,2,,,,,,
2,67,1,2,,1,17:10.277,,
2,68,2,,,,,,
2,69,1,2,,1,17:13.930,17:15.136,
2,70,2,,,,,,
