SessionNum,c01,,,,,,,
SessionDate,11/05/2019,,,,,,,
Player1ID,,,,,,,,
Player2ID,Tester,,,,,,,
TesterName,,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,c01/000,,,,,,,
LSLFileName,c01.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,178,2,,,,,,
1,179,1,1,,1,13:26.863,13:28.271,
1,180,2,,,,,,
1,181,1,2,,1,13:33.968,,
1,182,2,,,,,,
1,183,1,2,,0,13:40.402,,
1,184,2,,,,,,
1,185,1,3,,0,13:46.702,,
1,186,2,,,,,,
1,187,1,1,,1,13:54.744,,
1,188,2,,,,,,
1,189,1,1,,1,14:01.915,14:03.289,
1,190,2,,,,,,
1,191,1,1,,1,14:08.651,,
1,192,2,,,,,,
1,193,1,1,,1,14:14.951,,
1,194,2,,,,,,
1,195,1,1,,0,14:21.619,,hard to see
1,196,2,,,,,,
1,197,1,2,,1,14:28.389,,
1,198,2,,,,,,
1,199,1,2,,0,14:34.722,14:36.062,
1,200,2,,,,,,
2,1,1,1,,1,14:45.814,,Extra Trial
2,2,2,,,,,,Extra Trial
2,3,1,1,,1,14:52.650,,Extra Trial
2,4,2,,,,,,Extra Trial
2,5,1,1,,1,14:59.922,,Extra Trial
2,6,2,,,,,,Extra Trial
2,7,1,3,,1,15:06.791,,Extra Trial
2,8,2,,,,,,Extra Trial
2,9,1,1,,,15:13.259,,Extra Trial
2,10,2,,,,,,Extra Trial
2,1,1,1,,1,15:36.381,,
2,2,2,,,,,,Participant accidently pressed 2nd hole
2,3,1,2,,0,15:56.822,,
2,4,2,,,,,,
2,5,1,3,,0,16:03.323,,
2,6,2,,,,,,
2,7,1,1,,1,16:10.428,,2Tou
2,8,2,,,,,,
2,9,1,1,,1,16:16.996,16:18.269,
2,10,2,,,,,,
2,11,1,1,,1,16:24.603,,
2,12,2,,,,,,
2,13,1,1,,1,16:31.707,,
2,14,2,,,,,,
2,15,1,1,,1,16:38.208,,
2,16,2,,,,,,
2,17,1,1,,1,16:45.614,,
2,18,2,,,,,,
2,19,1,1,,0,16:53.187,16:54.427,
2,20,2,,,,,,
2,21,1,3,,0,16:59.386,,
2,22,2,,,,,,
2,23,1,2,,1,17:05.787,,
2,24,2,,,,,,
2,25,1,2,,1,17:12.288,,
2,26,2,,,,,,
2,27,1,2,,1,17:18.956,,
2,28,2,,,,,,
2,29,1,2,,1,17:25.927,17:27.200,
2,30,2,,,,,,
2,31,1,2,,1,17:32.160,,
2,32,2,,,,,,
2,33,1,2,,1,17:38.493,,
2,34,2,,,,,,
2,35,1,2,,1,17:46.167,,2Tou
2,36,2,,,,,,
2,37,1,2,,0,17:55.550,,
2,38,2,,,,,,
2,39,1,3,,1,18:05.033,18:06.474,
2,40,2,,,,,,
2,41,1,3,,0,18:11.836,,
2,42,2,,,,,,
2,43,1,1,,1,18:18.638,,
2,44,2,,,,,,2Tou
2,45,1,1,,1,18:31.071,,
2,46,2,,,,,,
2,47,1,1,,1,18:39.314,,
2,48,2,,,,,,
2,49,1,1,,1,18:46.419,18:47.826,
2,50,2,,,,,,
2,51,1,1,,1,18:55.466,,
2,52,2,,,,,,
2,53,1,1,,1,19:02.470,,
2,54,2,,,,,,
2,55,1,1,,0,19:09.172,,
2,56,2,,,,,,
2,57,1,2,,0,19:15.539,,
2,58,2,,,,,,
2,59,1,3,,0,19:22.107,19:23.515,
2,60,2,,,,,,
2,61,1,1,,1,19:28.642,,
2,62,2,,,,,,
2,63,1,1,,1,19:35.109,,
2,64,2,,,,,,
2,65,1,1,,1,19:42.146,,
2,66,2,,,,,,
2,67,1,1,,1,19:48.949,,
2,68,2,,,,,,
2,69,1,1,,0,19:55.919,19:57.427,
2,70,2,,,,,,
2,71,1,2,,1,20:02.856,,
2,72,2,,,,,,
2,73,1,2,,1,20:08.754,,
2,74,2,,,,,,
2,75,1,2,,1,20:16.360,,
2,76,2,,,,,,
2,77,1,2,,0,20:22.560,,
2,78,2,,,,,,
2,79,1,3,,0,20:28.927,20:30.301,
2,80,2,,,,,,
2,81,1,1,,1,20:35.361,,
2,82,2,,,,,,2Tou
2,83,1,1,,1,20:47.190,,
2,84,2,,,,,,
2,85,1,1,,0,20:53.457,,
2,86,2,,,,,,
2,87,1,2,,1,20:59.488,,
2,88,2,,,,,,
2,89,1,2,,1,21:06.492,21:08.034,
2,90,2,,,,,,
2,91,1,2,,0,21:13.060,,
2,92,2,,,,,,
2,93,1,1,,1,21:19.360,,
2,94,2,,,,,,2Tou
2,95,1,1,,1,21:30.720,,
2,96,2,,,,,,
2,97,1,1,,1,21:37.858,,
2,98,2,,,,,,
2,99,1,1,,1,21:44.660,21:45.967,
2,100,2,,,,,,
2,101,1,2,,1,21:51.295,,
2,102,2,,,,,,
2,103,1,2,,1,21:59.204,,
2,104,2,,,,,,
2,105,1,2,,0,22:05.839,,
2,106,2,,,,,,
2,107,1,1,,1,22:12.407,,
2,108,2,,,,,,
2,109,1,1,,1,22:18.707,22:20.114,
2,110,2,,,,,,
2,111,1,1,,0,22:25.577,,
2,112,2,,,,,,
2,113,1,2,,0,22:32.111,,
2,114,2,,,,,,
2,115,1,3,,0,22:38.478,,
2,116,2,,,,,,
2,117,1,1,,1,22:46.185,,
2,118,2,,,,,,
2,119,1,2,,0,22:54.362,22:55.669,
2,120,2,,,,,,
2,121,1,3,,0,23:00.662,,
2,122,2,,,,,,
2,123,1,1,,1,23:07.096,,
2,124,2,,,,,,
2,125,1,1,,1,23:14.200,,
2,126,2,,,,,,
2,127,1,1,,1,23:24.052,,
2,128,2,,,,,,
2,129,1,1,,1,23:32.128,23:33.536,
